"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Nov 11 06:34:06 GMT 2022","Fri Nov 11 06:34:13 GMT 2022","6303","","B. Register user","","","","can generate a new email address and sign up",""
"failed","Fri Nov 11 06:39:21 GMT 2022","Fri Nov 11 06:39:54 GMT 2022","32716","","J. Complete the course which we have created in previous tests","","","","should ",""
"failed","Fri Nov 11 06:40:13 GMT 2022","Fri Nov 11 06:40:46 GMT 2022","32582","","K. Search courses","","","","go to curriculums",""
"failed","Fri Nov 11 06:35:50 GMT 2022","Fri Nov 11 06:36:06 GMT 2022","16142","","C. Invite user by 2 ways","","","","should invite by admin tools",""
"failed","Fri Nov 11 06:44:22 GMT 2022","Fri Nov 11 06:44:33 GMT 2022","11861","","N. Clear all created learning items","","","","delete QA course group",""
"failed","Fri Nov 11 06:34:21 GMT 2022","Fri Nov 11 06:34:58 GMT 2022","36980","","C. Invite user by 2 ways","","","","should invite by user menu",""
"passed","Fri Nov 11 06:38:22 GMT 2022","Fri Nov 11 06:38:35 GMT 2022","13438","","G. Create course group","","","","should create curriculum",""
"passed","Fri Nov 11 06:38:41 GMT 2022","Fri Nov 11 06:38:55 GMT 2022","14291","","H. Create curriculum","","","","should create curriculum",""
"failed","Fri Nov 11 06:43:28 GMT 2022","Fri Nov 11 06:44:09 GMT 2022","40860","","N. Clear all created learning items","","","","delete QA course",""
"failed","Fri Nov 11 06:37:48 GMT 2022","Fri Nov 11 06:38:00 GMT 2022","12203","","E. Profile editing","","","","should assert profile page",""
"failed","Fri Nov 11 06:36:26 GMT 2022","Fri Nov 11 06:37:12 GMT 2022","46152","","D. Create lessons","","","","should create lesson(checkbox + radio)",""
"failed","Fri Nov 11 06:44:09 GMT 2022","Fri Nov 11 06:44:21 GMT 2022","12484","","N. Clear all created learning items","","","","delete QA curriculum",""
"passed","Fri Nov 11 06:43:11 GMT 2022","Fri Nov 11 06:43:28 GMT 2022","17299","","N. Clear all created learning items","","","","delete QA lessons",""
"failed","Fri Nov 11 06:35:08 GMT 2022","Fri Nov 11 06:35:50 GMT 2022","41313","","C. Invite user by 2 ways","","","","delete invited user",""
"passed","Fri Nov 11 06:40:10 GMT 2022","Fri Nov 11 06:40:13 GMT 2022","2807","","K. Search courses","","","","search course by name",""
"failed","Fri Nov 11 06:34:13 GMT 2022","Fri Nov 11 06:34:16 GMT 2022","3710","","B. Register user","","","","can receive the confirmation email and extract the code",""
"failed","Fri Nov 11 06:42:27 GMT 2022","Fri Nov 11 06:43:02 GMT 2022","34871","","M. Assert answers were checked by teacher","","","","assert that answers were created",""
"failed","Fri Nov 11 06:40:49 GMT 2022","Fri Nov 11 06:41:19 GMT 2022","30329","","Search curriculums","","","","go to curriculums and search them by name",""
"passed","Fri Nov 11 06:40:06 GMT 2022","Fri Nov 11 06:40:10 GMT 2022","4737","","K. Search courses","","","","select Started Finished and All courses",""
"passed","Fri Nov 11 06:37:12 GMT 2022","Fri Nov 11 06:37:34 GMT 2022","21679","","D. Create lessons","","","","should create lesson(text)",""
"failed","Fri Nov 11 06:41:39 GMT 2022","Fri Nov 11 06:42:14 GMT 2022","34158","","L. Check student answers","","","","Check first answer",""
"passed","Fri Nov 11 06:33:52 GMT 2022","Fri Nov 11 06:33:57 GMT 2022","4221","","A. Login test","","","","should show landing page",""
"failed","Fri Nov 11 06:34:58 GMT 2022","Fri Nov 11 06:35:08 GMT 2022","10175","","C. Invite user by 2 ways","","","","accept invitation",""
"failed","Fri Nov 11 06:38:05 GMT 2022","Fri Nov 11 06:38:17 GMT 2022","11609","","F. Create course","","","","should create course",""
"passed","Fri Nov 11 06:39:00 GMT 2022","Fri Nov 11 06:39:13 GMT 2022","12125","","I. Create team","","","","should create new team",""
"passed","Fri Nov 11 06:33:57 GMT 2022","Fri Nov 11 06:34:00 GMT 2022","3266","","A. Login test","","","","should move to login page and log in",""
