"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 01 13:28:56 GMT 2022","Thu Dec 01 13:29:01 GMT 2022","5035","","K. Search courses","","","","select Started Finished and All courses",""
"passed","Thu Dec 01 13:25:59 GMT 2022","Thu Dec 01 13:26:22 GMT 2022","22889","","D. Create lessons","","","","should create lesson(text)",""
"passed","Thu Dec 01 13:27:01 GMT 2022","Thu Dec 01 13:27:17 GMT 2022","15888","","F. Create course","","","","should create course",""
"passed","Thu Dec 01 13:23:32 GMT 2022","Thu Dec 01 13:23:37 GMT 2022","4066","","A. Login test","","","","should show landing page",""
"failed","Thu Dec 01 13:23:49 GMT 2022","Thu Dec 01 13:24:26 GMT 2022","36757","","B. Register user","","","","can generate a new email address and sign up",""
"passed","Thu Dec 01 13:30:12 GMT 2022","Thu Dec 01 13:30:28 GMT 2022","15654","","N. Clear all created learning items","","","","delete QA course",""
"passed","Thu Dec 01 13:30:44 GMT 2022","Thu Dec 01 13:30:57 GMT 2022","13481","","N. Clear all created learning items","","","","delete QA course group",""
"passed","Thu Dec 01 13:30:28 GMT 2022","Thu Dec 01 13:30:44 GMT 2022","15476","","N. Clear all created learning items","","","","delete QA curriculum",""
"passed","Thu Dec 01 13:28:37 GMT 2022","Thu Dec 01 13:28:49 GMT 2022","12094","","J. Complete the course which we have created in previous tests","","","","should ",""
"passed","Thu Dec 01 13:29:05 GMT 2022","Thu Dec 01 13:29:08 GMT 2022","3638","","K. Search courses","","","","go to curriculums",""
"passed","Thu Dec 01 13:23:37 GMT 2022","Thu Dec 01 13:23:40 GMT 2022","3945","","A. Login test","","","","should move to login page and log in",""
"passed","Thu Dec 01 13:29:41 GMT 2022","Thu Dec 01 13:29:47 GMT 2022","6286","","M. Assert answers were checked by teacher","","","","assert that answers were created",""
"failed","Thu Dec 01 13:26:41 GMT 2022","Thu Dec 01 13:26:54 GMT 2022","13299","","E. Profile editing","","","","should assert profile page",""
"passed","Thu Dec 01 13:29:01 GMT 2022","Thu Dec 01 13:29:04 GMT 2022","3458","","K. Search courses","","","","search course by name",""
"passed","Thu Dec 01 13:27:46 GMT 2022","Thu Dec 01 13:28:04 GMT 2022","17661","","H. Create curriculum","","","","should create curriculum",""
"passed","Thu Dec 01 13:29:20 GMT 2022","Thu Dec 01 13:29:29 GMT 2022","9051","","L. Check student answers","","","","Check first answer",""
"failed","Thu Dec 01 13:24:26 GMT 2022","Thu Dec 01 13:24:31 GMT 2022","4787","","B. Register user","","","","can receive the confirmation email and extract the code",""
"passed","Thu Dec 01 13:28:11 GMT 2022","Thu Dec 01 13:28:26 GMT 2022","14393","","I. Create team","","","","should create new team",""
"passed","Thu Dec 01 13:25:09 GMT 2022","Thu Dec 01 13:25:59 GMT 2022","49797","","D. Create lessons","","","","should create lesson(checkbox + radio)",""
"passed","Thu Dec 01 13:27:24 GMT 2022","Thu Dec 01 13:27:39 GMT 2022","15328","","G. Create course group","","","","should create course program",""
"passed","Thu Dec 01 13:29:53 GMT 2022","Thu Dec 01 13:30:12 GMT 2022","19132","","N. Clear all created learning items","","","","delete QA lessons",""
